,NR_TURNO,NM_UE,CD_CARGO,DS_CARGO,TP_AGREMIACAO,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,NR_FEDERACAO,NM_FEDERACAO,SG_FEDERACAO,DS_COMPOSICAO_FEDERACAO,SQ_COLIGACAO,NM_COLIGACAO,DS_COMPOSICAO_COLIGACAO,CD_SITUACAO_LEGENDA,DS_SITUACAO,NM_TIPO_DESTINACAO_VOTOS
144,1,SÃO PAULO,7,DEPUTADO ESTADUAL,PARTIDO ISOLADO,29,PCO,PARTIDO DA CAUSA OPERÁRIA,-1,#NULO#,#NULO#,#NULO#,250001684744,#NULO#,PCO,D,DEFERIDO,Válido (legenda)
146,1,SÃO PAULO,7,DEPUTADO ESTADUAL,PARTIDO ISOLADO,19,PODE,PODEMOS,-1,#NULO#,#NULO#,#NULO#,250001681521,#NULO#,PODE,D,DEFERIDO,Válido (legenda)
151,1,SÃO PAULO,7,DEPUTADO ESTADUAL,PARTIDO ISOLADO,28,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,-1,#NULO#,#NULO#,#NULO#,250001684724,#NULO#,PRTB,D,DEFERIDO,Válido (legenda)
163,1,SÃO PAULO,7,DEPUTADO ESTADUAL,PARTIDO ISOLADO,20,PSC,PARTIDO SOCIAL CRISTÃO,-1,#NULO#,#NULO#,#NULO#,250001683088,#NULO#,PSC,D,DEFERIDO,Válido (legenda)
172,1,SÃO PAULO,7,DEPUTADO ESTADUAL,PARTIDO ISOLADO,40,PSB,PARTIDO SOCIALISTA BRASILEIRO,-1,#NULO#,#NULO#,#NULO#,250001682228,#NULO#,PSB,D,DEFERIDO,Válido (legenda)
178,1,SÃO PAULO,7,DEPUTADO ESTADUAL,PARTIDO ISOLADO,16,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,-1,#NULO#,#NULO#,#NULO#,250001681579,#NULO#,PSTU,D,DEFERIDO,Válido (legenda)
197,1,SÃO PAULO,7,DEPUTADO ESTADUAL,PARTIDO ISOLADO,14,PTB,PARTIDO TRABALHISTA BRASILEIRO,-1,#NULO#,#NULO#,#NULO#,250001681750,#NULO#,PTB,D,DEFERIDO,Válido (legenda)
198,1,SÃO PAULO,7,DEPUTADO ESTADUAL,PARTIDO ISOLADO,51,PATRIOTA,PATRIOTA,-1,#NULO#,#NULO#,#NULO#,250001682264,#NULO#,PATRIOTA,D,DEFERIDO,Válido (legenda)
201,1,SÃO PAULO,7,DEPUTADO ESTADUAL,PARTIDO ISOLADO,90,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,-1,#NULO#,#NULO#,#NULO#,250001685317,#NULO#,PROS,D,DEFERIDO,Válido (legenda)
205,1,SÃO PAULO,7,DEPUTADO ESTADUAL,PARTIDO ISOLADO,21,PCB,PARTIDO COMUNISTA BRASILEIRO,-1,#NULO#,#NULO#,#NULO#,250001682901,#NULO#,PCB,D,DEFERIDO,Válido (legenda)
